"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","tag"
"hsa-let-7a-2-3p",50.6302222715416,-0.247731372990534,0.0998328107441433,-2.48146246854086,0.0130844488697519,0.0230257061115745,"Stable"
"hsa-let-7a-3p",168.036422640958,-0.126029565353422,0.0637619569003246,-1.97656363574972,0.0480909760036947,0.0742342145171992,"Stable"
"hsa-let-7a-5p",259322.282921384,-0.100496703656054,0.082071463238124,-1.22450239938419,0.220762761729394,0.285586324208456,"Stable"
"hsa-let-7b-3p",126.023252135563,-0.0119515394994472,0.064640139037585,-0.184893468321564,0.853312594190679,0.88273716640415,"Stable"
"hsa-let-7b-5p",48729.0864528191,-0.0276669174862875,0.0756672125208732,-0.365639443618403,0.714634138409737,0.773573036422911,"Stable"
"hsa-let-7c-3p",129.176784973825,0.169288701794757,0.0839476301122677,2.01659893874738,0.0437373838666512,0.0683735777567996,"Stable"
"hsa-let-7c-5p",25460.6689130719,-0.0247493943944539,0.0739784989515362,-0.33454848023704,0.737965714188567,0.794732307587688,"Stable"
"hsa-let-7d-3p",3380.0416398372,-0.0374377626539562,0.0619682429558292,-0.604144330518485,0.545747688739305,0.621614355542857,"Stable"
"hsa-let-7d-5p",2066.84509276949,0.0561035926829221,0.0413821371852943,1.35574420508323,0.175180569256976,0.235065605947377,"Stable"
"hsa-let-7e-3p",171.338122055101,0.0451982719130394,0.0620069625779626,0.728922527953385,0.466049053540535,0.553982837227429,"Stable"
"hsa-let-7e-5p",15805.5806661173,-0.0363367540041211,0.0917023972433456,-0.396246500597975,0.691923190209808,0.752869792456268,"Stable"
"hsa-let-7f-1-3p",24.2182983433848,-0.0398355515774591,0.058909843795683,-0.676212140633419,0.498905965493055,0.584220740261384,"Stable"
"hsa-let-7f-2-3p",7.98522093487572,-0.0688149366425925,0.0915589122558525,-0.751591898015301,0.452296517112592,0.540696026149778,"Stable"
"hsa-let-7f-5p",124428.656827034,-0.0771951415794459,0.11167026677943,-0.691277488679427,0.489391175768645,0.576292412587376,"Stable"
"hsa-let-7g-3p",359.066614546358,0.00575791242198739,0.0617641419175444,0.0932241951919974,0.925725453104058,0.937631889799931,"Stable"
"hsa-let-7g-5p",5407.01191865531,-0.0212958739535461,0.0765497101712238,-0.278196663395749,0.780861396032563,0.832390320643849,"Stable"
"hsa-let-7i-3p",2298.04827617625,-0.418259681482731,0.0803995257983204,-5.20226552743509,1.96873666231441e-07,7.33907749856852e-07,"Stable"
"hsa-let-7i-5p",10388.1001480544,-0.312009071180216,0.0714424823445684,-4.3672764571,1.25805448616521e-05,3.88516826609843e-05,"Stable"
