"","logFC","AveExpr","t","P.Value","adj.P.Val","B","tag"
"hsa-miR-197-3p",-0.106988922478508,7.98946496689628,-1.54573280252792,0.122718550522287,0.164495078359661,-6.35047073447572,"Stable"
"hsa-miR-6761-5p",-0.185037217547087,-1.11452182951137,-1.20921638402965,0.227076026126599,0.285544703512489,-6.35352681149451,"Stable"
"hsa-miR-3940-3p",0.201691402994051,-1.20529773620417,1.19230615004089,0.233632386045113,0.293203990455022,-6.36941890379639,"Stable"
"hsa-miR-323b-3p",0.230795599854424,-1.05605509618287,1.15223606038426,0.2497022679068,0.310280924617918,-6.41683876508873,"Stable"
"hsa-miR-26a-1-3p",-0.159105699574235,-0.471766956456586,-1.16281150280937,0.245387704900579,0.305522241279377,-6.43037431457434,"Stable"
"hsa-miR-3136-5p",-0.162845972760541,-1.54994094725162,-1.13667704946032,0.256146173284575,0.317661592852917,-6.43368526389709,"Stable"
"hsa-miR-23a-3p",-0.0985236071069,11.7239311339183,-1.51907714349608,0.1292919825371,0.171985651699861,-6.43631141564902,"Stable"
"hsa-miR-660-3p",-0.159969573553014,-1.28850209587489,-1.12157754211478,0.262509643001761,0.324732673400028,-6.45240012870685,"Stable"
"hsa-miR-5586-5p",0.208410619298767,0.798782482537937,1.19042128685431,0.234371427120683,0.293546717864872,-6.48687523344739,"Stable"
"hsa-miR-17-5p",-0.113686550530648,8.10766560246926,-1.45533193220021,0.14612238054443,0.192176042428975,-6.48768042917128,"Stable"
"hsa-miR-301a-3p",0.135862306743458,3.18560573971076,1.33978259620954,0.180844573673899,0.232989941543059,-6.49893424851841,"Stable"
"hsa-miR-539-5p",-0.225394174348745,-0.0943037485118653,-1.12070934586617,0.262878830847641,0.324732673400028,-6.51409477801482,"Stable"
"hsa-miR-3682-3p",-0.145747695315838,-0.899475002605201,-1.06911555568563,0.285465610309286,0.35057180213421,-6.51573918554801,"Stable"
"hsa-miR-454-3p",-0.108456830247606,2.80186118582677,-1.31639261327895,0.188566085146,0.242442109473428,-6.51798781479319,"Stable"
"hsa-miR-362-5p",0.198831306254121,2.85194653083345,1.28895441750927,0.19793155710195,0.251010724760608,-6.54187079206232,"Stable"
"hsa-miR-1296-5p",0.102243508174494,2.5638254065193,1.26291053733368,0.207132538234089,0.262035138729871,-6.5609257411912,"Stable"
"hsa-miR-34b-5p",-0.179613958980006,-0.998800707806296,-1.02040096601611,0.307966889818176,0.375278801906095,-6.56456140606528,"Stable"
"hsa-miR-335-5p",-0.135654812707435,3.74788522496821,-1.29546967511746,0.195677398536561,0.250054282105544,-6.59457521886998,"Stable"
"hsa-miR-887-5p",0.148320313539753,-1.0638428840588,0.97754874947816,0.32870810070942,0.398242506628721,-6.60200841937985,"Stable"
"hsa-miR-500b-3p",0.135743653886244,-0.247945097843275,0.99711168470612,0.319129163420693,0.387382221493326,-6.60765420162314,"Stable"
"hsa-miR-301b-3p",-0.178532697650255,-0.889896363063546,-0.960102338574595,0.337406716154741,0.407215002255722,-6.6266335252455,"Stable"
"hsa-miR-1343-3p",0.144671762723254,-0.520559251022266,0.942454886766887,0.34635506579293,0.4164192584915,-6.64646339177558,"Stable"
"hsa-miR-491-5p",-0.11384782905982,2.85885567529847,-1.21202126071518,0.226001375976234,0.284761733730055,-6.65373350324954,"Stable"
"hsa-miR-4999-5p",0.190386454757928,0.703664518442582,1.0327810649249,0.302139974145987,0.36889182889917,-6.65522047304158,"Stable"
"hsa-miR-497-3p",0.146283707384847,-0.95269892722435,0.891579849918207,0.372990610126445,0.444204318298035,-6.68301997215039,"Stable"
"hsa-miR-369-3p",-0.178343823871057,-0.0153054090768564,-0.930702237318541,0.352397671578351,0.42127235881283,-6.71080517315983,"Stable"
"hsa-miR-6509-5p",0.127329306839771,-1.06600683381949,0.853568161745783,0.39369927033391,0.466222820132262,-6.71494810138926,"Stable"
"hsa-miR-548o-3p",-0.106584915906962,-0.789425197584527,-0.84089288929786,0.400757021097845,0.473690287601581,-6.73460699268098,"Stable"
"hsa-miR-374a-3p",-0.139933250589719,9.85114692340801,-1.28870113333906,0.198019571755591,0.251010724760608,-6.73973269782167,"Stable"
"hsa-miR-628-5p",-0.105934485427442,4.10996710824848,-1.18841039189558,0.235161713359756,0.293952141699695,-6.74026205060664,"Stable"
"hsa-miR-4685-3p",-0.114624086378652,-1.75567144849198,-0.819435088902479,0.412877282875606,0.483480833107122,-6.74115403308988,"Stable"
"hsa-miR-6868-3p",0.149288181852121,-1.24086424512259,0.78211816765966,0.434466649259994,0.504075171992782,-6.77155778257225,"Stable"
"hsa-miR-203b-3p",-0.219826426157959,4.78061670363793,-1.18401077636094,0.236897363399966,0.295535324637581,-6.77172611338602,"Stable"
"hsa-miR-589-3p",0.120610964074161,0.50766179687872,0.889370876008358,0.374175220549492,0.444774318766377,-6.77556954170878,"Stable"
"hsa-miR-4638-3p",0.114213041417059,-0.459715928334616,0.78075937356913,0.435264910419164,0.504075171992782,-6.78815886251214,"Stable"
"hsa-miR-320c",0.0934633071833416,-0.366051190322412,0.774941132063534,0.438692578399021,0.507112521819052,-6.79817076730838,"Stable"
"hsa-miR-642a-5p",-0.1569881693068,0.410831810159116,-0.858574198782494,0.390932759731188,0.46381852849463,-6.81665384502514,"Stable"
"hsa-miR-3909",0.10391045442332,-1.19678308360106,0.711839556905652,0.476852451571437,0.547876392959211,-6.82424090123525,"Stable"
"hsa-miR-219a-5p",-0.117348728633666,0.342452347131578,-0.825920423114515,0.409191329423136,0.480971385776803,-6.8318149320283,"Stable"
"hsa-miR-32-3p",0.0992178123174353,0.383039068042235,0.803737857428834,0.42188008239218,0.491093598608271,-6.83547436242595,"Stable"
"hsa-miR-1266-5p",0.124882227827817,3.65301269706314,1.06162920605638,0.28884914480789,0.354036889550527,-6.85627634114031,"Stable"
"hsa-miR-511-3p",0.108543751413576,-1.09080662296286,0.653519756398307,0.513682152323887,0.584151184050629,-6.86462712971469,"Stable"
"hsa-miR-374b-3p",0.0838548467334753,0.919046106526596,0.838914097789614,0.401865673731786,0.474111188110534,-6.86485301134741,"Stable"
"hsa-miR-185-5p",-0.0872270819451755,6.58147555914581,-1.1051150501524,0.26957132094677,0.332348203906977,-6.90265621818199,"Stable"
"hsa-miR-365b-5p",-0.0856696303191256,-1.68369513513666,-0.582735653342853,0.560299411905324,0.628093646797783,-6.90611138329981,"Stable"
"hsa-miR-92b-5p",0.0993790603616194,-0.836879839902219,0.5834417039782,0.559824456845079,0.628093646797783,-6.91115564144628,"Stable"
"hsa-miR-3928-3p",0.07778177105911,-0.198443278101054,0.620573489921846,0.535125844891788,0.605259034617283,-6.91710846773011,"Stable"
"hsa-miR-429",0.282009478757008,6.31514431415767,1.07828190309169,0.281359502532717,0.346204075382054,-6.91996073795991,"Stable"
