"","logFC","logCPM","LR","PValue","FDR","tag"
"hsa-miR-625-5p",0.41755774319676,2.29219475834726,13.1347764560264,0.000289864857529428,0.000745366776504244,"Stable"
"hsa-miR-7112-3p",0.92452453358729,1.23423966424138,12.8115935058335,0.000344478044663641,0.000882199870480057,"Stable"
"hsa-miR-6514-5p",0.817691734207262,1.32824638648372,12.7682305322853,0.000352556181931294,0.000899232366869293,"Stable"
"hsa-miR-6718-5p",0.879166329188812,1.29635394707676,12.6367804536951,0.00037823080791729,0.000960828262047953,"Stable"
"hsa-miR-1270",-0.466607589227455,2.66118580301027,12.5661706132641,0.000392792623014406,0.00099381266063886,"Stable"
"hsa-miR-369-5p",-0.670287269130475,1.6435388592867,12.1745079100222,0.000484470790392308,0.00122086639178862,"Stable"
"hsa-miR-151a-3p",0.248130354444301,11.4776912853117,11.8268741647836,0.000583819207742464,0.00146536295170419,"Stable"
"hsa-miR-193b-5p",-0.514870548004798,2.23903953875133,11.7197716802438,0.000618395412729504,0.00154598853182376,"Stable"
"hsa-miR-21-3p",0.518400315313675,10.3972211699859,11.7039125614963,0.000623688190580388,0.00155305754966658,"Stable"
"hsa-miR-346",0.508703778817545,2.1315109835418,11.5749487251049,0.000668462791354993,0.00165799826202223,"Stable"
"hsa-miR-6734-5p",0.870002586236042,1.2167782518757,11.5627084313119,0.000672877670486222,0.00166240365649537,"Stable"
"hsa-miR-324-5p",0.292921612111176,5.21370094247949,11.4057880917621,0.000732156349537607,0.0018017910164402,"Stable"
"hsa-miR-2355-5p",0.26111561473224,5.25182951443197,11.2666630166815,0.000789114540610354,0.00193061638429284,"Stable"
"hsa-miR-450a-1-3p",0.826391719511566,1.31081307791444,11.2630935676337,0.000790633376424686,0.00193061638429284,"Stable"
"hsa-miR-7-5p",-1.00603049758634,4.45862824569545,11.249877031433,0.0007962829092342,0.00193690437381292,"Down"
"hsa-miR-629-3p",0.438317057938771,2.34616721204858,11.1667711950858,0.000832754286038398,0.00201782769309304,"Stable"
"hsa-miR-331-3p",0.325246529944983,5.90630527162546,11.0930243641116,0.000866530492146071,0.00209162532586983,"Stable"
"hsa-miR-7705",0.831526800895157,1.23238970083516,10.9480977783835,0.000936997600095022,0.00225308583228956,"Stable"
"hsa-miR-326",-0.446757366782229,2.91219499565607,10.8213441209714,0.00100336620189944,0.00240350078781994,"Stable"
"hsa-miR-216a-5p",0.81600839525392,1.63705319304087,10.7370557014313,0.0010501128123048,0.00250595102936373,"Stable"
"hsa-miR-29c-3p",-0.298454763267882,12.5047040776695,10.5439611500519,0.00116568322949068,0.0027712469229401,"Stable"
"hsa-miR-4742-3p",0.605286403861862,1.51613271996047,10.5324168888871,0.00117298713725856,0.00277812743034922,"Stable"
"hsa-miR-548v",0.638341386856371,1.50784269421068,10.5181019307028,0.00118210837619499,0.00278924448315671,"Stable"
"hsa-miR-452-5p",0.343081890915853,6.13947732670163,10.5081852309439,0.00118846917050333,0.00279378946797425,"Stable"
"hsa-miR-3651",-0.568894092728107,1.60884706692766,10.4797965496033,0.00120687045822507,0.00282649958617767,"Stable"
"hsa-miR-484",-0.26837657483703,5.72559814101931,10.3578742144028,0.00128923578116165,0.00300821682271052,"Stable"
"hsa-miR-186-5p",-0.184303319710767,8.23662744375762,10.2340646672519,0.00137870507253611,0.00320510773320203,"Stable"
"hsa-miR-194-3p",-0.344177051286889,2.09892360991515,10.1719208823283,0.0014259563598712,0.00329549734631732,"Stable"
"hsa-miR-212-5p",0.779256817478528,1.2523942386386,10.169217316351,0.00142804885007084,0.00329549734631732,"Stable"
"hsa-miR-214-5p",-0.488419903784619,3.8660023184798,10.1615837164863,0.0014339738569363,0.00329709317470754,"Stable"
"hsa-miR-671-3p",0.362024338975244,2.7140446970853,10.1267946121215,0.0014612931004883,0.00334768964839139,"Stable"
"hsa-miR-133a-3p",-0.562294624428349,4.9092480256495,10.083555122498,0.00149598421456969,0.00341474657673516,"Stable"
"hsa-miR-5684",0.54536605930027,1.60752078422339,10.0214745412226,0.00154725548044351,0.00351902871003398,"Stable"
"hsa-miR-379-5p",-0.637782405258628,7.64154655190985,9.90774434024627,0.0016458471700946,0.00372979754373955,"Stable"
"hsa-miR-362-5p",0.52684059237816,3.60903740729468,9.72314603711789,0.00181961776350241,0.00410881430468287,"Stable"
"hsa-miR-765",0.788196998573389,1.21758991649901,9.69201203689158,0.00185070777956613,0.00416409250402378,"Stable"
"hsa-miR-769-5p",0.190611421797426,4.1204846811326,9.65807607773547,0.00188520952364272,0.00422662633414561,"Stable"
"hsa-miR-4662a-5p",-0.330001468192135,3.31295631919127,9.63942400798851,0.0019044494793999,0.00425442500997904,"Stable"
"hsa-miR-30c-2-3p",-0.335923967815772,7.51428095153684,9.63248939125845,0.00191165331789071,0.00425442500997904,"Stable"
"hsa-miR-139-5p",-0.40225455067727,7.18565258704477,9.6265284231431,0.00191786778227627,0.00425442500997904,"Stable"
"hsa-miR-4677-3p",0.252885243839834,3.53131661203048,9.61217212075815,0.0019329187900027,0.00427276785158491,"Stable"
"hsa-miR-192-3p",-0.296784042306887,2.33223420172154,9.56432798191514,0.00198394812882594,0.00437023538867253,"Stable"
"hsa-miR-1976",-0.251339222499378,4.29898954298002,9.50339415511371,0.00205092168476961,0.00447962430489418,"Stable"
"hsa-miR-2355-3p",0.391300455511852,2.24353299146667,9.50197600218928,0.00205250741069677,0.00447962430489418,"Stable"
"hsa-miR-16-5p",-0.181962714637826,9.38520532431409,9.4998037365383,0.00205493876843558,0.00447962430489418,"Stable"
"hsa-miR-3652",-0.606016436066743,1.26178420971923,9.37317341935244,0.00220184000433824,0.00478330759563134,"Stable"
"hsa-miR-584-5p",-0.293077077277649,6.21617236986504,9.14295754571867,0.00249677190368191,0.00540538247188867,"Stable"
"hsa-let-7c-5p",-0.268960318763571,12.3848084115726,9.09140300757952,0.00256813788604406,0.00554084543906766,"Stable"
"hsa-miR-548j-5p",-0.586282669123929,1.26787512820226,8.94856059364884,0.00277688305119424,0.00597077243089546,"Stable"
"hsa-miR-708-3p",-0.417205714735667,7.13680748118596,8.89469873688824,0.00285999789343569,0.00612856691450504,"Stable"
"hsa-miR-23c",0.804889095145795,1.33268777346508,8.81033984729083,0.00299528239281806,0.00639670477110297,"Stable"
"hsa-miR-145-5p",-0.328675045098301,10.7835145364832,8.74933508403365,0.00309714960441259,0.0065919062526349,"Stable"
"hsa-miR-582-3p",-0.324532486371723,5.94976666964695,8.68520032897811,0.00320804315657827,0.00680494002910543,"Stable"
"hsa-miR-4521",-0.575341491211487,1.26404020958162,8.52665466857462,0.00349982409269287,0.00739895697448492,"Stable"
"hsa-miR-504-5p",-0.503970890945791,1.4666864865995,8.36034108735402,0.00383498575952507,0.00808040477759462,"Stable"
"hsa-miR-3199",-0.432494957047771,1.57083285594349,8.25053815405201,0.00407399211231445,0.00855538343586034,"Stable"
"hsa-miR-103a-2-5p",0.430344886293862,1.93747467464854,8.1484142068648,0.00430988332739804,0.00902068603408892,"Stable"
"hsa-miR-6875-5p",0.692666147244562,1.24500191264852,8.1418751141313,0.00432545311616775,0.00902329623571418,"Stable"
"hsa-miR-499a-5p",-0.4801620489715,1.41561892790342,7.86601244299948,0.00503726137826987,0.0104735137567987,"Stable"
"hsa-miR-92a-3p",0.192970240350779,13.1143084699319,7.82428355965999,0.00515488763723584,0.0106828263534822,"Stable"
"hsa-miR-501-3p",0.307827450833167,4.95875010116275,7.74068957696204,0.00539901795081723,0.0111280054212276,"Stable"
"hsa-miR-328-3p",0.284955100147165,7.2742760836672,7.73867950217277,0.00540503120459629,0.0111280054212276,"Stable"
"hsa-miR-148b-3p",-0.188665556691057,8.30514967517855,7.67926700785858,0.00558588524959929,0.0114628915545523,"Stable"
"hsa-miR-3615",-0.307141079879612,2.37631977903064,7.67084232248646,0.00561202530443175,0.0114791426681558,"Stable"
"hsa-miR-3157-3p",-0.589057379051661,1.18967119308512,7.57962303648443,0.00590317839474487,0.0120200970463187,"Stable"
"hsa-miR-34b-3p",-0.47513141431811,1.49791062540643,7.57612328598066,0.00591465092755364,0.0120200970463187,"Stable"
"hsa-miR-381-3p",-0.507067624139404,3.94922876944336,7.4483281426119,0.00634953999546731,0.0128624122094675,"Stable"
"hsa-miR-1249-3p",-0.405983167307261,1.58351674725657,7.38322964764325,0.00658348409096394,0.0132935736452156,"Stable"
"hsa-miR-483-5p",1.13087792104523,1.8237166504619,7.36220057709431,0.00666092212631733,0.0134069678580828,"Up"
"hsa-miR-3690",0.623166600088127,1.35905511101904,7.32457158714374,0.00680181756231791,0.0136469588033767,"Stable"
"hsa-miR-331-5p",-0.217371735715841,2.70082412590692,7.20564394424224,0.0072674668833969,0.0145349337667938,"Stable"
"hsa-miR-6806-3p",-0.335562021648011,1.84199191614799,7.1877888027376,0.00734013785902682,0.0146338191493256,"Stable"
"hsa-miR-1228-3p",0.675918555422641,1.20310051828837,7.15814774154308,0.0074624217935375,0.0148264966562461,"Stable"
"hsa-miR-301a-5p",0.317016073968032,2.55028481396094,7.15300463434846,0.00748385069315278,0.0148264966562461,"Stable"
"hsa-miR-33a-5p",0.369865070442292,4.16568376487229,7.12299260569421,0.00761015726228979,0.0150294641857134,"Stable"
"hsa-miR-6720-3p",-0.537559634334032,1.2343124559251,6.84134093707746,0.00890719528898597,0.0175360407251911,"Stable"
"hsa-miR-345-5p",-0.426339294174653,6.44748668420182,6.82796274218572,0.00897415671515311,0.0176128309362818,"Stable"
"hsa-miR-1229-3p",0.626047343116527,1.27848843344528,6.81747769199995,0.00902699729837505,0.0176615164533425,"Stable"
"hsa-miR-370-5p",-0.439844775628513,1.60882829820688,6.73009578019355,0.0094799509313226,0.018490306770072,"Stable"
"hsa-miR-7706",0.393970148360874,1.73950245581337,6.70707509796188,0.00960311111075499,0.0186727160486903,"Stable"
"hsa-miR-4668-3p",0.42011791398296,1.65380547212683,6.64355104849972,0.0099515379160242,0.0192596487549344,"Stable"
"hsa-miR-125a-3p",0.26545559971871,3.24237931701726,6.6409452856492,0.00996610395890257,0.0192596487549344,"Stable"
"hsa-miR-30c-5p",-0.239480055688471,10.4522183440427,6.60390175843474,0.0101755544744417,0.0196042792626858,"Stable"
"hsa-miR-576-5p",-0.206592258131462,3.52981157435724,6.56397545734023,0.0104063631107738,0.019987831584718,"Stable"
"hsa-miR-548b-3p",-0.31524291993958,2.15409549248657,6.42249799220593,0.0112683549544232,0.0215262123128384,"Stable"
"hsa-miR-409-3p",0.50954196742199,2.75058501961799,6.42135099843097,0.0112756350210106,0.0215262123128384,"Stable"
"hsa-miR-2116-3p",0.589659044535706,1.26038463985658,6.26757150603245,0.0122967567806943,0.0234047032381796,"Stable"
"hsa-miR-616-3p",0.418794599816362,1.70187893832191,6.2371978361532,0.0125094248251442,0.0237377639754241,"Stable"
"hsa-miR-590-5p",0.192813399000316,3.85720236014356,6.16130742671294,0.0130574659933069,0.0247033140413914,"Stable"
"hsa-miR-561-5p",-0.521686575194499,1.21434348947543,6.13508687742103,0.0132525035640464,0.0249972372615246,"Stable"
"hsa-miR-4772-3p",-0.360913608896636,2.21683397230076,6.03987887680523,0.0139862437779598,0.0263024882988498,"Stable"
"hsa-miR-93-5p",0.21715862797585,11.6658739683504,5.96019457679824,0.014632426208551,0.0274357991410332,"Stable"
"hsa-miR-4797-3p",0.485436949012298,1.39884830199455,5.72938233180599,0.0166833495841839,0.0311884576796316,"Stable"
"hsa-miR-30e-3p",-0.219232101398693,13.3129491750166,5.67991579459499,0.0171601913367174,0.0319849720181419,"Stable"
"hsa-miR-126-3p",-0.243279382391768,12.5989964348753,5.50772350081161,0.0189326739643506,0.0351846153319789,"Stable"
"hsa-miR-4661-5p",0.266907817655629,2.21425562915783,5.31126396396695,0.0211879789393186,0.0392600786228551,"Stable"
"hsa-miR-338-3p",0.326514255372616,9.25384868326465,5.1999359932189,0.0225877198839291,0.0417309780846785,"Stable"
"hsa-miR-320b",-0.211417071647935,2.63586704222239,5.02442316145914,0.0249922491270859,0.0460383536551582,"Stable"
"hsa-miR-136-3p",-0.417984561051483,2.61098659221386,5.0177695009171,0.0250884667267196,0.0460808572531584,"Stable"
"hsa-miR-589-5p",0.160023251601306,5.86890919940953,4.93489119895514,0.026319719522814,0.0482018119167814,"Stable"
"hsa-miR-605-5p",-0.415572476641928,1.32711225394521,4.9045658439444,0.026785784300585,0.0489131713315031,"Stable"
"hsa-miR-199a-5p",-0.340429745611924,9.07203925426715,4.68448494314407,0.0304361867299575,0.055418490288651,"Stable"
"hsa-miR-4442",0.510868492546805,1.24197554671153,4.66037196391397,0.0308665040022679,0.0560400504940311,"Stable"
"hsa-miR-191-5p",0.155402260610783,9.33616369106237,4.61458562447081,0.0317011536085106,0.057390019463683,"Stable"
"hsa-miR-3127-5p",-0.205327236672835,2.57229459962315,4.5818623781031,0.0323120778655305,0.0583283927085507,"Stable"
"hsa-miR-196b-5p",0.57328306520933,4.59318675515934,4.57655505136313,0.032412314928973,0.0583421668721514,"Stable"
"hsa-miR-4660",0.47917643153089,1.29226954623569,4.56089025650203,0.0327100661951406,0.0587103752220471,"Stable"
"hsa-miR-140-3p",-0.168261715258517,10.3385785059848,4.52769336615734,0.0333505406885349,0.0596898881641392,"Stable"
"hsa-miR-412-5p",0.551328379594637,1.73801462505278,4.45539472533164,0.0347911746967201,0.0620918981839481,"Stable"
"hsa-miR-425-3p",0.166937878236702,3.37333571287009,4.42970828406442,0.0353185438813108,0.0628550357209769,"Stable"
"hsa-let-7c-3p",-0.243623378523916,4.95832792871299,4.38932211944677,0.0361646894000579,0.0641795896395394,"Stable"
"hsa-miR-188-3p",0.332598306968864,1.72291250294737,4.36824586859296,0.0366146650808129,0.0647956151711014,"Stable"
"hsa-miR-6733-3p",0.44403022292429,1.3307703882948,4.25788375266117,0.0390685630660768,0.0689445230577826,"Stable"
"hsa-miR-330-5p",0.172044334946769,4.46879122572856,4.24911573179804,0.0392707733646827,0.0690927549350174,"Stable"
"hsa-miR-130a-5p",-0.24752513196141,2.01971603664872,4.24123275437518,0.0394535098107785,0.0690927549350174,"Stable"
"hsa-miR-3926",-0.305257188142954,1.61671788227439,4.24002549015489,0.0394815742485814,0.0690927549350174,"Stable"
"hsa-miR-5698",0.532604032043157,1.80725214935809,4.20892594268992,0.0402117907830057,0.0701757013664642,"Stable"
"hsa-miR-98-3p",0.26709975911057,1.96059565630413,4.08174493486672,0.0433488707332093,0.0754414048671875,"Stable"
"hsa-miR-5703",-0.418206009971723,1.23930113508367,4.06952291913984,0.0436636048240858,0.075779810025273,"Stable"
"hsa-miR-3922-3p",0.460609746599498,1.26858492841222,4.04980275701956,0.0441765062724407,0.0764593377792242,"Stable"
"hsa-miR-107",0.138565222325203,6.61682330353099,3.96444119211333,0.0464709438513082,0.0802101222639019,"Stable"
"hsa-miR-22-5p",0.171324775314213,4.8667950575856,3.90019882532818,0.0482803935731021,0.083105595494684,"Stable"
"hsa-miR-939-5p",0.400469315067707,1.38068112586317,3.88771446254555,0.0486405740389332,0.0832709673807532,"Stable"
"hsa-miR-4772-5p",-0.421434644968145,1.21452171398169,3.8877060036632,0.0486408190414558,0.0832709673807532,"Stable"
"hsa-miR-493-3p",0.394555768546014,1.72876749038443,3.84886595031458,0.049779638006552,0.0849896258648449,"Stable"
"hsa-miR-135a-5p",0.258898271794047,9.46037732300136,3.82590735482108,0.0504660166955237,0.0859286230221079,"Stable"
"hsa-miR-942-3p",-0.435892606489377,1.16643360618731,3.75137403554399,0.0527641202523822,0.0895994494851772,"Stable"
"hsa-miR-454-3p",-0.15434018392829,3.24605943226148,3.7385352534094,0.053171036797795,0.0900477236091689,"Stable"
"hsa-miR-655-3p",-0.356438627216438,1.36439546389307,3.70549704232405,0.0542335163638191,0.091421700699359,"Stable"
"hsa-miR-26a-2-3p",0.24558834814852,2.71041953859621,3.70429590172188,0.0542725651770798,0.091421700699359,"Stable"
"hsa-miR-125b-1-3p",0.214098594814922,2.92946664114966,3.46630459779294,0.0626310836247885,0.105220220489645,"Stable"
"hsa-miR-106b-3p",-0.134102296006363,7.80063525196554,3.45264291546232,0.0631507152694711,0.105811038882359,"Stable"
"hsa-miR-887-3p",-0.222849710119634,2.54243716056306,3.43943614836951,0.0636574141291403,0.106377111144187,"Stable"
"hsa-miR-185-3p",0.244594749858386,3.3896289542152,3.42684717461384,0.0641444473766274,0.106907412294379,"Stable"
"hsa-miR-5581-3p",0.472842099351642,1.15583972033973,3.39460046981077,0.0654102078764002,0.108729369293225,"Stable"
"hsa-miR-664b-5p",0.344478956832431,1.46169708191298,3.369825519926,0.066400787295078,0.110085515778682,"Stable"
"hsa-miR-449a",0.442659924129837,1.22623516041346,3.35622624588802,0.066951329287993,0.110706922444713,"Stable"
"hsa-miR-29b-2-5p",0.211564793663192,6.42791460639036,3.33998460573901,0.067615241653336,0.111512047752884,"Stable"
"hsa-miR-3136-5p",-0.38951263762851,1.21041475116117,3.28972543342036,0.0697146791467917,0.114674276403339,"Stable"
"hsa-miR-1271-5p",-0.175440045250598,2.32115101972353,3.24316875344505,0.0717217968744819,0.117668572997197,"Stable"
"hsa-miR-133b",-0.416914712199356,2.54006200889572,3.21607591535292,0.0729182383243441,0.119320753621654,"Stable"
"hsa-miR-100-3p",-0.334929269285956,1.3476160439432,3.20702214365878,0.0733228179656698,0.119671956783347,"Stable"
"hsa-miR-653-5p",0.244094241467817,3.59816724078627,3.14446050316963,0.0761851913971049,0.124022404599938,"Stable"
"hsa-miR-2114-5p",0.437693611117276,1.44756698722115,3.13919378834919,0.0764315795786267,0.124102822511688,"Stable"
"hsa-miR-3917",-0.302380398295664,1.65149902626513,3.13411706206142,0.0766698908391351,0.124169746089088,"Stable"
"hsa-miR-1468-5p",0.179074394976089,4.12406359761756,3.11686706690716,0.077485628447872,0.125078457876002,"Stable"
"hsa-miR-550a-3-5p",-0.336069688386289,1.32389893698575,3.11387520547214,0.077628058777011,0.125078457876002,"Stable"
"hsa-miR-6874-3p",0.384837074238294,1.30199592387324,3.09679904509733,0.0784463975021236,0.125906743718665,"Stable"
"hsa-miR-18a-3p",-0.326393133588394,1.3495448059048,3.0948202495554,0.0785418258435482,0.125906743718665,"Stable"
"hsa-miR-5091",-0.318155767106516,1.76163113219001,3.00602060337894,0.082955717156066,0.132644928447517,"Stable"
"hsa-miR-335-5p",-0.169662632119593,4.12200838223549,2.99063668006772,0.0837472353562313,0.133571539935255,"Stable"
"hsa-miR-500a-5p",-0.163025053788409,2.59762772855877,2.93752578269925,0.0865432041626016,0.137682370258684,"Stable"
"hsa-miR-500b-5p",-0.161788843986094,2.59751922274232,2.89334554502375,0.0889460481653953,0.141148640665489,"Stable"
"hsa-miR-582-5p",-0.205378256275349,2.52007193505712,2.8653180529754,0.0905078171692321,0.143266142755317,"Stable"
"hsa-let-7a-3p",0.130300076424839,5.18745944201469,2.85720302168318,0.0909655450283673,0.143629807939527,"Stable"
"hsa-miR-1288-3p",0.357758370544692,1.31910904412671,2.78494433981129,0.0951539994247536,0.149867549093987,"Stable"
"hsa-miR-654-3p",-0.335818824813941,3.48210053068226,2.77822674350648,0.0955539115400235,0.149957967617687,"Stable"
"hsa-miR-2277-5p",0.332486939946718,1.38774352204323,2.77599017061453,0.0956874650512862,0.149957967617687,"Stable"
"hsa-miR-23b-5p",0.208270760618661,1.98263086458609,2.75569642272467,0.0969086100677371,0.151494849485544,"Stable"
"hsa-miR-5586-5p",0.272896509763932,2.13490820474555,2.73374240759222,0.0982488156952641,0.153209786851526,"Stable"
"hsa-miR-4444",0.243100066761947,1.74405107364624,2.70553200028928,0.100000718179566,0.155556672723769,"Stable"
"hsa-miR-130b-3p",-0.249947999660416,3.59236149824541,2.68380850420658,0.101373025445053,0.157302970518186,"Stable"
"hsa-miR-3613-3p",0.315693187732467,1.41666574693791,2.66876087987518,0.102335670608627,0.158406566298367,"Stable"
"hsa-miR-539-5p",0.341779652696004,1.83748827099678,2.64607087057198,0.103806185826501,0.160288963408568,"Stable"
"hsa-miR-493-5p",0.338984726460827,2.19344814836698,2.60556144340751,0.106489438584109,0.164030186572099,"Stable"
