miRNAID,GeneSymbol
hsa-miR-204-5p,BCL9L
hsa-miR-204-5p,FARP1
hsa-miR-204-5p,BMPR1A
hsa-miR-204-5p,SOX4
hsa-miR-204-5p,AKAP1
hsa-miR-204-5p,BMPR1A
hsa-miR-204-5p,CREB1
hsa-miR-204-5p,JARID2
hsa-miR-204-5p,FARP1
hsa-miR-204-5p,FARP1
hsa-miR-204-5p,FARP1
hsa-miR-204-5p,SERINC3
hsa-miR-204-5p,TPPP
hsa-miR-204-5p,ANGPTL2
hsa-miR-204-5p,ANKFY1
hsa-miR-204-5p,TCF4
hsa-miR-204-5p,ZBTB20
hsa-miR-204-5p,ZBTB20
hsa-miR-204-5p,RUNX2
hsa-miR-204-5p,CREB1
hsa-miR-204-5p,CREB1
hsa-miR-204-5p,BCL9L
hsa-miR-204-5p,MBNL1
hsa-miR-204-5p,ZBTB20
hsa-miR-204-5p,ZBTB20
hsa-miR-204-5p,IGFBP5
hsa-miR-204-5p,PPP3R1
hsa-miR-204-5p,RUNX2
hsa-miR-204-5p,RUNX2
hsa-miR-204-5p,SAMD5
hsa-miR-204-5p,MAPRE2
hsa-miR-204-5p,MAPRE2
hsa-miR-204-5p,ZBTB20
hsa-miR-204-5p,ZBTB20
hsa-miR-204-5p,ZBTB20
hsa-miR-204-5p,ZBTB20
hsa-miR-204-5p,ZBTB20
hsa-miR-204-5p,ZBTB20
hsa-miR-204-5p,ZBTB20
hsa-miR-204-5p,ZBTB20
hsa-miR-204-5p,CCNT2
hsa-miR-204-5p,AKAP1
hsa-miR-204-5p,AKAP1
hsa-miR-204-5p,TCF4
hsa-miR-204-5p,MAPRE2
hsa-miR-20b-5p,TTPAL
hsa-miR-20b-5p,TTPAL
hsa-miR-20b-5p,RAP2C
hsa-miR-20b-5p,RAP2C
hsa-miR-20b-5p,CCSER2
hsa-miR-20b-5p,CCSER2
hsa-miR-20b-5p,STX6
hsa-miR-20b-5p,PKNOX1
hsa-miR-20b-5p,ATL3
hsa-miR-20b-5p,ENPP5
hsa-miR-20b-5p,NR2C2
hsa-miR-20b-5p,USP28
hsa-miR-20b-5p,ARL1
hsa-miR-20b-5p,HMGB3
hsa-miR-20b-5p,HMGB3
hsa-miR-20b-5p,AKTIP
hsa-miR-20b-5p,AGO1
hsa-miR-20b-5p,AGO1
hsa-miR-20b-5p,RACGAP1
hsa-miR-20b-5p,RUNX3
hsa-miR-20b-5p,BNIP2
hsa-miR-20b-5p,KLHL15
hsa-miR-20b-5p,KLHL15
hsa-miR-20b-5p,DDHD1
hsa-miR-20b-5p,ANKRD13C
hsa-miR-20b-5p,TRIM8
hsa-miR-20b-5p,DNAL1
hsa-miR-20b-5p,KATNAL1
hsa-miR-20b-5p,PPP1R15B
hsa-miR-20b-5p,PURB
hsa-miR-20b-5p,CCND1
hsa-miR-20b-5p,ANKH
hsa-miR-20b-5p,MXI1
hsa-miR-20b-5p,RORA
hsa-miR-20b-5p,RORA
hsa-miR-20b-5p,BCL2L11
hsa-miR-20b-5p,BCL2L11
hsa-miR-20b-5p,BCL2L11
hsa-miR-20b-5p,BCL2L11
hsa-miR-20b-5p,BCL2L11
hsa-miR-20b-5p,BCL2L11
hsa-miR-20b-5p,NFAT5
hsa-miR-20b-5p,SAMD8
hsa-miR-20b-5p,DENND5B
hsa-miR-20b-5p,ZNF597
hsa-miR-20b-5p,ABHD2
hsa-miR-20b-5p,MTMR3
hsa-miR-20b-5p,PGM2L1
hsa-miR-20b-5p,PGM2L1
hsa-miR-20b-5p,TMEM167A
hsa-miR-20b-5p,NCOA3
hsa-miR-20b-5p,UBXN2A
hsa-miR-20b-5p,POLQ
hsa-miR-20b-5p,DSTYK
hsa-miR-20b-5p,GAB1
hsa-miR-20b-5p,ANKRD13C
hsa-miR-20b-5p,MAPRE3
hsa-miR-20b-5p,PAFAH1B1
hsa-miR-20b-5p,TBC1D17
hsa-miR-20b-5p,MAPRE3
hsa-miR-20b-5p,RACGAP1
hsa-miR-20b-5p,NR2C2
hsa-miR-20b-5p,GAB1
hsa-miR-20b-5p,REST
hsa-miR-20b-5p,AGFG2
hsa-miR-20b-5p,PAFAH1B1
hsa-miR-20b-5p,PAFAH1B1
hsa-miR-20b-5p,ARID4B
hsa-miR-20b-5p,PLEKHM1
hsa-miR-20b-5p,AAK1
hsa-miR-20b-5p,GNB5
hsa-miR-20b-5p,YOD1
hsa-miR-20b-5p,NRIP3
hsa-miR-20b-5p,USP28
hsa-miR-20b-5p,ZNFX1
hsa-miR-20b-5p,MTMR3
hsa-miR-20b-5p,ENPP5
hsa-miR-20b-5p,TTPAL
hsa-miR-20b-5p,PANK3
hsa-miR-20b-5p,E2F5
hsa-miR-20b-5p,ELK4
hsa-miR-20b-5p,GAB1
hsa-miR-20b-5p,PPP6C
hsa-miR-20b-5p,RAB5B
hsa-miR-20b-5p,RORA
hsa-miR-20b-5p,NR2C2
hsa-miR-20b-5p,E2F2
hsa-miR-20b-5p,BNIP2
hsa-miR-20b-5p,DUSP2
hsa-miR-20b-5p,PKNOX1
hsa-miR-20b-5p,VPS26A
hsa-miR-20b-5p,HMGB3
hsa-miR-20b-5p,HMGB3
hsa-miR-20b-5p,CHAF1A
hsa-miR-20b-5p,REST
hsa-miR-20b-5p,REST
hsa-miR-20b-5p,MTF1
hsa-miR-20b-5p,MTF1
hsa-miR-20b-5p,MXI1
hsa-miR-20b-5p,AGFG2
hsa-miR-20b-5p,LASP1
hsa-miR-20b-5p,POLR3G
hsa-miR-20b-5p,BCL2L11
hsa-miR-20b-5p,GNB5
hsa-miR-20b-5p,NFAT5
hsa-miR-20b-5p,MAP3K2
hsa-miR-20b-5p,ZBTB6
hsa-miR-20b-5p,AGO1
hsa-miR-20b-5p,RACGAP1
hsa-miR-20b-5p,WDR37
hsa-miR-20b-5p,OSTM1
hsa-miR-20b-5p,JAK1
hsa-miR-20b-5p,USP28
hsa-miR-20b-5p,SAMD12
hsa-miR-20b-5p,ELAVL2
hsa-miR-20b-5p,ACBD5
hsa-miR-20b-5p,REST
hsa-miR-20b-5p,RGMB
hsa-miR-20b-5p,POLR3G
hsa-miR-20b-5p,POLR3G
hsa-miR-20b-5p,AAK1
hsa-miR-20b-5p,MAP3K2
hsa-miR-20b-5p,MAP3K2
hsa-miR-20b-5p,ELAVL2
hsa-miR-20b-5p,ESR1
hsa-miR-20b-5p,ATXN1
hsa-miR-20b-5p,PAFAH1B1
hsa-miR-20b-5p,LDLR
hsa-miR-20b-5p,REEP3
hsa-miR-20b-5p,MXI1
hsa-miR-20b-5p,AKTIP
hsa-miR-20b-5p,RGMB
hsa-miR-20b-5p,ZNF805
hsa-miR-20b-5p,FBXO48
hsa-miR-20b-5p,VPS26A
hsa-miR-20b-5p,TTPAL
hsa-miR-20b-5p,E2F5
hsa-miR-20b-5p,E2F5
hsa-miR-20b-5p,SAMD12
hsa-miR-20b-5p,NFAT5
hsa-miR-20b-5p,ESR1
hsa-miR-20b-5p,ESR1
hsa-miR-20b-5p,ESR1
hsa-miR-20b-5p,RACGAP1
hsa-miR-20b-5p,ATXN1
hsa-miR-20b-5p,WEE1
hsa-miR-20b-5p,ZNF805
hsa-miR-20b-5p,DDHD1
hsa-miR-20b-5p,DDHD1
hsa-miR-20b-5p,ANKRD33B
hsa-miR-20b-5p,MOSMO
hsa-miR-20b-5p,ELAVL2
hsa-miR-20b-5p,NCOA3
hsa-miR-20b-5p,SAMD8
hsa-miR-20b-5p,ARL1
hsa-miR-20b-5p,LDLR
hsa-miR-20b-5p,LDLR
hsa-miR-20b-5p,LDLR
hsa-miR-20b-5p,LDLR
hsa-miR-20b-5p,DPYSL2
hsa-miR-20b-5p,DNAL1
hsa-miR-20b-5p,BCL2L11
hsa-miR-20b-5p,BCL2L11
hsa-miR-20b-5p,BCL2L11
